M1_TOA_us,M2_TOA_us
10416,9614
4614,3208
9979,7385
9177,8770
10177,9583
5635,4593
1145,562
739,958
9708,9031
10416,2302
9437,6187
8479,843
8739,9000
7270,5708
10656,6562
10114,5520
5968,2020
10635,2020
10656,7718
5802,4614
10020,9260
4197,2364
5916,2395
5875,1927
10645,7218
6562,5416
5750,1729
5187,1208
10656,6927
9000,7156
10166,9343
9406,5895
9447,10260
5572,1875
9531,687
10656,1854
7000,4833
10656,6875
6760,5895
5395,10114
9958,3968
5802,9677
3843,3229
6218,6927
6333,1750
10468,9833
8989,5093
10385,10041
9666,6156
